stop,ABERDEEN,ABSECON,ALLENHURST,ASBURY PARK,ATCO,ATLANTIC CITY,ATLANTIC HIGHLANDS,AUDUBON,AVALON,AVENEL,AVON BY THE SEA,BARNEGAT,BARRINGTON,BASS RIVER TWP,BAYONNE,BAYVILLE,BEACHWOOD,BECKETT,BELFORD,BELLEVILLE,BELLMAWR IN CAMDEN CO,BELMAR IN MONMOUTH CO,BERGENFIELD,BERKELEY HEIGHTS IN UNION CO,BERKELEY IN OCEAN CO,BERLIN TWP,BLACKWOOD,BLOOMFIELD,BLOOMINGDALE,BOGOTA,BOONTON,BORDENTOWN TWP,BOTANY VILLAGE,BOUND BROOK,BRADLEY BEACH,BRICK TWP,BRIDGEPORT IN GLOUCESTER CO,BRIDGETON,BRIDGEWATER,BRIELLE,BRIGANTINE,BROOKLAWN,BROWNS MILLS,BUENA VISTA,BURLINGTON CITY,BURLINGTON TWP,BUTLER,CALDWELL,CAMDEN,CAMPBELLS JUNCTION,CAPE MAY,CAPE MAY COURT HOUSE,CARLSTADT,CARNEYS POINT,CARTERET,CASSVILLE,CEDAR GROVE IN ESSEX CO,CEDAR KNOLLS IN MORRIS CO,CHATHAM,CHELSEA HEIGHTS,CHERRY HILL,CHESILHURST,CINNAMINSON,CLARK,CLAYTON,CLEMENTON,CLIFFSIDE PARK,CLIFFWOOD,CLIFTON,CLOSTER,COLLINGS LAKES,COLLINGSWOOD,COLONIA,COLTS NECK,CONVENT,COOKSTOWN,CORBIN CITY,CRANFORD,CRESSKILL,DEAL,DELANCO,DELRAN,DENNIS,DENVILLE,DEPTFORD,DOVER IN MORRIS CO,DUMONT,DUNELLEN,EAGLESWOOD TWP,EAST BRUNSWICK TWP,EAST GREENWICH TWP,EAST NEWARK,EAST ORANGE,EAST RUTHERFORD,EASTON PA,EATONTOWN,EDGEWATER IN BERGEN CO,EDISON TWP,EGG HARBOR CITY IN ATLANTIC CO,EGG HARBOR TOWNSHIP,ELBERON,ELIZABETH,ELMWOOD PARK,ELSMERE,EMERSON,ENGLEWOOD,ENGLEWOOD CLIFFS,ENGLISHTOWN,ERIAL,ESSEX FELLS,EWING TWP,FAIR HAVEN,FAIR LAWN,FAIRFIELD TWP IN CUMBERLAND CO,FAIRFIELD TWP IN ESSEX CO,FAIRVIEW IN BERGEN CO,FAIRVIEW IN CAMDEN CO,FANWOOD,FIELDSBORO,FLORENCE,FLORHAM PARK,FOLSOM,FORDS,FORKED RIVER,FORT DIX,FORT LEE,FRANKLIN LAKES,FRANKLINVILLE,FREEHOLD BORO,FREEHOLD TWP,GALLOWAY TWP,GARFIELD,GARWOOD,GIBBSTOWN,GLASSBORO,GLEN RIDGE,GLEN ROCK,GLENDORA,GLOUCESTER CITY,GLOUCESTER TWP,GREAT NOTCH,GREEN BROOK TWP,GREENWICH TWP IN GLOUCESTER CO,GREENWOOD LAKE IN PASSAIC CO,GREENWOOD LAKE NY,GRENLOCH IN GLOUCESTER CO,GUTTENBERG,HACKENSACK CITY IN E. RUTHERFORD,HACKENSACK IN BERGEN CO,HADDON HEIGHTS,HADDON TWP,HADDONFIELD,HAINESPORT TWP IN BURLINGTON CO,HALEDON,HAMILTON PARK IN JERSEY CITY,HAMILTON TWP IN MERCER CO,HAMMONTON,HARDYSTON TWP,HARRINGTON PARK,HARRISON IN GLOUCESTER CO,HARRISON IN HUDSON CO,HASBROUCK HEIGHTS,HASKELL,HAWORTH,HAWTHORNE,HEWITT IN PASSAIC CO,HI-NELLA,HIGHLAND PARK,HIGHLANDS,HILLSDALE IN BERGEN CO,HILLSIDE IN UNION CO,HO HO KUS,HOBOKEN,HOPEWELL TWP,HOWELL TWP,INTERLAKEN,IRVINGTON TWP,ISELIN,JACKSON TWP IN OCEAN CO,JEFFERSON TWP IN GLOUCESTER CO,JEFFERSON TWP IN MORRIS CO,JERSEY CITY,KEANSBURG,KEARNY,KEASBEY,KENILWORTH,KINNELON,LACEY TWP,LAKE COMO,LAKE HIAWATHA,LAKEWOOD TWP,LANDISVILLE,LANOKA HARBOR,LAUREL SPRINGS,LAURENCE HARBOR,LAWNSIDE,LAWRENCE,LAWRENCE TWP IN MERCER CO,LAWRENCEVILLE,LEDGEWOOD,LEESBURG CUMB,LEONARDO,LEONIA,LINCOLN PARK BORO,LINCROFT,LINDEN,LINDENWOLD,LINWOOD,LITTLE EGG HARBOR TWP,LITTLE FALLS TWP,LITTLE FERRY,LIVINGSTON TWP,LOCH ARBOUR,LODI,LOGAN TWP,LONG BRANCH,LONGPORT,LOPATCONG,LOWER TWP,LUMBERTON,LYNDHURST TWP,MADISON,MAGNOLIA,MANAHAWKIN,MANALAPAN TWP,MANASQUAN,MANNINGTON,MANSFIELD TWP IN BURLINGTON CO,MANTUA TWP,MANVILLE,MAPLE SHADE TWP,MAPLEWOOD TWP,MARGATE CITY,MARLBORO TWP,MARLTON,MATAWAN,MAURICE RIVER TWP,MAYS LANDING,MAYWOOD,MERCER COUNTY,MERCERVILLE,MERCHANTVILLE,METUCHEN,MIDDLE TWP,MIDDLESEX,MIDDLETOWN IN CAPE MAY CO,MIDDLETOWN IN MONMOUTH CO,MIDLAND PARK,MILLBURN TWP,MILLTOWN IN MIDDLESEX CO,MILLVILLE IN CUMBERLAND CO,MIZPAH,MONROE TWP IN GLOUCESTER CO,MONROE TWP IN MIDDLESEX CO,MONTCLAIR TWP,MONTGOMERY,MONTVILLE TWP,MOONACHIE,MOORESTOWN TWP,MORGANVILLE,MORRIS PLAINS,MORRIS TWP,MORRISTOWN,MOUNT EPHRAIM BORO,MOUNT HOLLY,MOUNT LAUREL,MOUNT TABOR,MOUNTAIN LAKES,MOUNTAINSIDE,MOUNTAINVIEW,MULLICA HILL IN GLOUCESTER CO,MULLICA TWP IN ATLANTIC CO,MURRAY HILL,NATIONAL PARK,NEPTUNE TWP,NETHERWOOD,NEW BRUNSWICK,NEW GRETA,NEW HANOVER TWP,NEW MILFORD,NEW PROVIDENCE,NEW SHARON,NEW YORK CITY,NEWARK,NEWFIELD,NEWFOUNDLAND,NORTH ARLINGTON,NORTH BERGEN,NORTH BRUNSWICK,NORTH HALEDON,NORTH PLAINFIELD,NORTH WILDWOOD,NORTHFIELD,NUTLEY,OAKHURST,OAKLAND,OAKLYN,OCEAN CITY IN CAPE MAY CO,OCEAN GROVE,OCEAN TWP IN MONMOUTH CO,OCEAN TWP IN OCEAN CO,OCEAN VIEW,OCEANPORT,OLD BRIDGE TWP,OLDMANS TWP,ORADELL,ORANGE,PACKANACK LAKE,PALISADES PARK,PALMYRA,PARAMUS,PARLIN,PARSIPPANY,PASSAIC,PATERSON,PAULSBORO,PEMBERTON TWP,PENNINGTON,PENNS GROVE,PENNSAUKEN TWP,PENNSVILLE TWP,PEQUANNOCK TWP,PERTH AMBOY,PHILADELPHIA,PHILLIPSBURG,PILESGROVE TWP,PINE BEACH BORO,PINE HILL,PISCATAWAY TWP,PITMAN,PLAINFIELD,PLAINSBORO TWP,PLAUDERVILLE,PLEASANTVILLE,PLUMSTED TWP,POINT PLEASANT BEACH,POMONA,POMPTON LAKES,POMPTON PLAINS,PORT MONMOUTH,PORT READING,PRINCETON BORO,PRINCETON JUNCTION,PRINCETON TWP,PROSPECT PARK,RADBURN,RAHWAY,RANDOLPH TWP,RARITAN,RED BANK IN MONMOUTH CO,RICHLAND,RIDGEFIELD,RIDGEFIELD PARK,RIDGEWOOD,RINGWOOD,RIO GRANDE,RIVER EDGE,RIVERDALE,RIVERSIDE TWP,RIVERTON,ROBBINSVILLE TWP,ROCHELLE PARK TWP,ROCKAWAY,ROCKY HILL,ROEBLING,ROSELAND,ROSELLE,ROSELLE PARK,ROXBURY,RUMSON,RUNNEMEDE,RUTHERFORD,SADDLE BROOK TWP,SALEM,SAYREVILLE,SCOTCH PLAINS TWP,SEA BRIGHT,SEA GIRT,SEA ISLE CITY,SEASIDE HEIGHTS - SEASONAL,SEASIDE PARK - SEASONAL,SECAUCUS,SEWAREN,SEWELL,SHORT HILLS,SHREWSBURY,SICKLERVILLE,SILVERTON,SKILLMAN,SMITHVILLE,SOMERDALE,SOMERS POINT,SOMERVILLE,SOUTH AMBOY,SOUTH BELMAR,SOUTH HACKENSACK,SOUTH ORANGE,SOUTH PLAINFIELD,SOUTH RIVER,SOUTH TOMS RIVER,SOUTHAMPTON,SPOTSWOOD,SPRING LAKE,SPRINGFIELD TWP IN UNION CO,STAFFORD,STOCKHOLM,STONE HARBOR,STRATFORD,SUMMIT,SWEDESBORO,TAVISTOCK,TEANECK,TENAFLY,TETERBORO,THOROFARE,TINTON FALLS,TOMS RIVER,TOTOWA,TOWACO,TRENTON,TUCKAHOE,TUCKERTON,TURNERSVILLE,UNION BEACH IN MONMOUTH CO,UNION CITY IN HUDSON CO,UNION TWP IN UNION CO,UPPER DEERFIELD,UPPER PITTSGROVE,UPPER TWP,VAUXHALL,VENICE PARK,VENTNOR CITY,VENTNOR HEIGHTS,VERNON,VERONA TWP,VICTORY GARDENS,VILLAS,VINELAND,VOORHEES TWP,WALDWICK,WALL TWP,WALLINGTON,WANAQUE,WARETOWN,WARWICK NY,WASHINGTON TOWNSHIP IN BERGEN CO,WASHINGTON TOWNSHIP IN GLOUCESTER CO,WATCHUNG,WATERFORD TWP,WAYNE TWP,WEEHAWKEN TWP,WENONAH,WEST BERLIN,WEST CALDWELL TWP,WEST CAPE MAY,WEST CREEK,WEST DEPTFORD,WEST LONG BRANCH,WEST MILFORD TWP,WEST NEW YORK,WEST ORANGE,WEST WINDSOR,WESTFIELD,WESTVILLE,WESTWOOD,WEYMOUTH,WHARTON,WHIPPANY,WHITEHORSE,WILDWOOD,WILLIAMSTOWN,WILLINGBORO,WINFIELD,WINSLOW,WOOD-RIDGE,WOODBINE,WOODBRIDGE TWP,WOODBURY,WOODBURY HEIGHTS,WOODLAND PARK,WOODLYNNE,WOODSTOWN,WOOLWICH TWP,WRIGHTSTOWN,WYCKOFF,YARDVILLE
THOROFARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINTON FALLS,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMS RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRENTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,1.6,,,,,,,,,,,,,,,,,2.25
TUCKAHOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUCKERTON,,,,,,,,,,,,3.35,,,,4.8,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,,4.25,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURNERSVILLE,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,7.95,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,1.6,,,,,10.4,,,,,,,,,,
UNION BEACH IN MONMOUTH CO,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION CITY IN HUDSON CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,5.85,,,,,,,,,,,,,,2.55,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,1.6,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TWP IN UNION CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER DEERFIELD,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER PITTSGROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER TWP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUXHALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENICE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
